"Date","Price","Open","High","Low","Vol.","Change %"
"06/28/2024","4,341.1","4,376.9","4,429.2","4,338.8","904.40M","-0.43%"
"06/27/2024","4,359.8","4,355.0","4,385.9","4,343.4","644.81M","-0.06%"
"06/26/2024","4,362.6","4,349.7","4,375.0","4,329.6","744.97M","0.37%"
"06/25/2024","4,346.5","4,300.3","4,352.0","4,286.6","782.95M","1.79%"
"06/24/2024","4,269.9","4,327.1","4,348.1","4,269.9","894.78M","-2.07%"
"06/21/2024","4,360.2","4,371.5","4,411.6","4,341.5","1.63B","-0.84%"
"06/20/2024","4,397.1","4,507.4","4,507.4","4,378.9","1.09B","-1.60%"
"06/18/2024","4,468.4","4,451.6","4,478.0","4,438.2","771.53M","0.61%"
"06/17/2024","4,441.3","4,409.1","4,465.1","4,383.7","723.60M","1.18%"
"06/14/2024","4,389.3","4,364.1","4,395.1","4,350.0","651.80M","0.51%"
"06/13/2024","4,367.0","4,371.5","4,380.9","4,331.9","681.63M","1.36%"
"06/12/2024","4,308.3","4,249.0","4,352.0","4,243.5","879.16M","2.46%"
"06/11/2024","4,204.8","4,130.5","4,204.8","4,127.1","672.72M","1.66%"
"06/10/2024","4,136.3","4,113.9","4,151.4","4,097.6","715.68M","0.29%"
"06/07/2024","4,124.4","4,107.4","4,142.1","4,092.9","359.87M","0.20%"
"06/06/2024","4,116.2","4,146.4","4,157.7","4,097.9","404.14M","-0.47%"
"06/05/2024","4,135.6","4,065.1","4,135.6","4,058.9","532.15M","2.68%"
"06/04/2024","4,027.8","4,013.4","4,032.4","3,988.1","409.77M","0.41%"
"06/03/2024","4,011.2","4,020.5","4,022.5","3,959.8","437.00M","0.98%"
"05/31/2024","3,972.2","3,990.9","3,994.4","3,887.7","771.56M","0.00%"
"05/30/2024","3,972.3","4,040.3","4,045.5","3,960.6","537.13M","-2.45%"
"05/29/2024","4,072.1","4,050.1","4,089.6","4,045.8","417.93M","-0.36%"
"05/28/2024","4,086.7","4,071.6","4,097.6","4,051.2","445.88M","1.38%"
"05/24/2024","4,031.1","3,997.0","4,034.2","3,979.9","372.12M","1.13%"
"05/23/2024","3,986.1","4,040.0","4,043.6","3,967.3","530.45M","0.56%"
"05/22/2024","3,963.8","3,973.6","3,979.6","3,935.7","394.97M","0.07%"
"05/21/2024","3,961.0","3,932.2","3,966.0","3,924.9","367.96M","0.31%"
"05/20/2024","3,948.8","3,905.5","3,957.6","3,904.0","353.44M","1.32%"
"05/17/2024","3,897.2","3,922.6","3,926.6","3,876.6","373.56M","-0.48%"
"05/16/2024","3,915.9","3,934.6","3,947.2","3,914.5","442.52M","-0.34%"
"05/15/2024","3,929.2","3,866.1","3,931.3","3,861.2","440.26M","2.29%"
"05/14/2024","3,841.1","3,800.5","3,846.1","3,795.3","364.90M","0.93%"
"05/13/2024","3,805.5","3,814.8","3,819.4","3,785.6","352.62M","0.48%"
"05/10/2024","3,787.4","3,791.4","3,812.7","3,772.8","335.72M","0.48%"
"05/09/2024","3,769.4","3,774.6","3,777.3","3,750.9","335.66M","-0.25%"
"05/08/2024","3,779.0","3,753.0","3,785.9","3,752.1","338.31M","0.23%"
"05/07/2024","3,770.2","3,792.6","3,799.1","3,767.9","396.47M","-0.53%"
"05/06/2024","3,790.2","3,748.6","3,790.2","3,744.4","399.78M","1.48%"
"05/03/2024","3,734.8","3,723.0","3,749.8","3,714.4","510.77M","3.01%"
"05/02/2024","3,625.7","3,616.9","3,632.2","3,569.6","467.01M","1.64%"
"05/01/2024","3,567.1","3,590.4","3,647.7","3,557.8","508.14M","-1.26%"
"04/30/2024","3,612.6","3,682.0","3,700.4","3,612.2","470.47M","-2.16%"
"04/29/2024","3,692.5","3,696.3","3,700.0","3,668.0","403.51M","0.36%"
"04/26/2024","3,679.4","3,650.2","3,702.7","3,635.9","502.50M","1.85%"
"04/25/2024","3,612.4","3,555.8","3,622.3","3,542.9","461.87M","0.15%"
"04/24/2024","3,606.9","3,640.7","3,648.2","3,592.7","450.38M","0.03%"
"04/23/2024","3,605.8","3,567.2","3,611.2","3,559.9","396.46M","1.71%"
"04/22/2024","3,545.1","3,533.1","3,566.0","3,496.8","413.15M","1.28%"
"04/19/2024","3,500.4","3,589.9","3,605.5","3,489.7","569.00M","-3.08%"
"04/18/2024","3,611.7","3,648.8","3,660.5","3,607.0","404.50M","-0.89%"
"04/17/2024","3,644.3","3,723.9","3,733.1","3,643.8","424.03M","-1.71%"
"04/16/2024","3,707.7","3,703.3","3,731.4","3,694.0","383.19M","0.23%"
"04/15/2024","3,699.3","3,799.2","3,809.2","3,695.7","449.02M","-1.99%"
"04/12/2024","3,774.4","3,794.2","3,811.4","3,761.6","505.04M","-1.64%"
"04/11/2024","3,837.4","3,767.3","3,842.2","3,750.3","415.59M","2.36%"
"04/10/2024","3,748.8","3,733.1","3,759.5","3,728.8","408.73M","-0.74%"
"04/09/2024","3,776.8","3,789.9","3,794.0","3,724.4","406.91M","0.16%"
"04/08/2024","3,770.9","3,788.4","3,793.8","3,760.6","358.72M","-0.32%"
"04/05/2024","3,782.9","3,750.1","3,800.2","3,738.9","422.81M","1.38%"
"04/04/2024","3,731.3","3,837.2","3,849.0","3,731.1","492.57M","-1.72%"
"04/03/2024","3,796.7","3,772.5","3,822.3","3,771.4","454.11M","0.11%"
"04/02/2024","3,792.7","3,781.1","3,798.2","3,756.6","389.71M","-0.97%"
"04/01/2024","3,829.7","3,826.1","3,855.2","3,810.9","395.87M","0.23%"
"03/28/2024","3,821.1","3,815.2","3,831.1","3,805.6","435.04M","-0.11%"
"03/27/2024","3,825.3","3,844.5","3,846.1","3,797.8","426.36M","0.12%"
"03/26/2024","3,820.6","3,865.0","3,870.6","3,820.5","441.54M","-0.76%"
"03/25/2024","3,849.9","3,834.1","3,871.3","3,824.6","460.63M","-0.52%"
"03/22/2024","3,869.9","3,850.6","3,884.7","3,841.4","415.65M","0.45%"
"03/21/2024","3,852.5","3,891.6","3,891.6","3,845.8","613.46M","0.14%"
"03/20/2024","3,847.3","3,808.3","3,847.3","3,788.7","482.12M","1.15%"
"03/19/2024","3,803.4","3,752.9","3,809.0","3,730.4","464.06M","0.64%"
"03/18/2024","3,779.3","3,803.3","3,836.6","3,774.1","474.26M","0.51%"
"03/15/2024","3,760.3","3,763.8","3,782.3","3,745.0","857.05M","-1.29%"
"03/14/2024","3,809.5","3,825.8","3,843.6","3,786.9","491.40M","-0.11%"
"03/13/2024","3,813.9","3,843.1","3,843.1","3,792.6","453.81M","-1.08%"
"03/12/2024","3,855.5","3,803.1","3,856.1","3,762.1","501.40M","2.54%"
"03/11/2024","3,760.0","3,755.0","3,779.4","3,733.3","451.11M","-0.38%"
"03/08/2024","3,774.2","3,858.6","3,896.4","3,770.7","604.93M","-1.84%"
"03/07/2024","3,845.0","3,810.1","3,852.9","3,790.2","511.91M","1.89%"
"03/06/2024","3,773.6","3,782.3","3,802.6","3,746.8","553.95M","0.91%"
"03/05/2024","3,739.6","3,783.7","3,790.5","3,714.4","537.49M","-2.19%"
"03/04/2024","3,823.1","3,812.5","3,851.7","3,806.3","552.32M","0.21%"
"03/01/2024","3,815.3","3,757.0","3,819.0","3,757.0","550.36M","1.78%"
"02/29/2024","3,748.6","3,727.7","3,756.6","3,704.4","667.97M","1.17%"
"02/28/2024","3,705.1","3,709.0","3,718.1","3,691.8","328.48M","-0.55%"
"02/27/2024","3,725.6","3,730.3","3,732.6","3,698.8","352.12M","0.06%"
"02/26/2024","3,723.2","3,739.0","3,751.3","3,718.8","383.81M","0.03%"
