"Date","Price","Open","High","Low","Vol.","Change %"
"06/28/2024","889.50","886.23","897.83","886.23","2.86M","0.43%"
"06/27/2024","885.71","883.93","889.91","883.93","2.65M","0.09%"
"06/26/2024","884.92","888.10","896.63","881.14","3.78M","0.29%"
"06/25/2024","882.38","874.42","882.45","865.44","3.04M","0.19%"
"06/24/2024","880.71","887.08","888.52","877.67","3.35M","-0.77%"
"06/21/2024","887.56","897.78","897.78","881.81","14.12M","-1.30%"
"06/20/2024","899.26","886.21","899.26","886.21","4.23M","1.76%"
"06/19/2024","883.70","892.83","894.53","882.66","2.99M","-1.11%"
"06/18/2024","893.62","887.81","894.99","886.77","2.63M","0.79%"
"06/17/2024","886.59","886.16","897.32","884.74","3.22M","0.53%"
"06/14/2024","881.90","902.46","905.70","880.77","3.51M","-1.75%"
"06/13/2024","897.64","914.22","917.12","897.64","3.35M","-1.79%"
"06/12/2024","914.00","894.55","917.39","894.12","3.20M","2.36%"
"06/11/2024","892.94","899.37","901.21","888.45","2.53M","-0.62%"
"06/10/2024","898.55","898.16","898.55","886.69","2.26M","0.01%"
"06/07/2024","898.43","897.82","900.95","890.56","2.76M","0.36%"
"06/06/2024","895.20","891.71","903.60","891.71","3.30M","1.22%"
"06/05/2024","884.39","857.27","885.60","857.27","3.34M","3.68%"
"06/04/2024","853.04","855.01","860.45","850.70","3.07M","-0.12%"
"06/03/2024","854.05","854.79","863.22","851.71","2.72M","0.85%"
"05/31/2024","846.83","855.96","859.59","844.74","7.82M","-1.33%"
"05/30/2024","858.22","863.47","863.72","855.70","3.02M","-0.84%"
"05/29/2024","865.50","877.99","878.82","862.23","2.57M","-1.36%"
"05/28/2024","877.42","879.79","883.73","874.03","2.40M","-0.10%"
"05/27/2024","878.32","876.85","878.39","874.64","1.11M","0.10%"
"05/24/2024","877.40","877.19","877.40","867.07","2.46M","-0.31%"
"05/23/2024","880.10","872.06","886.40","872.06","2.66M","1.15%"
"05/22/2024","870.09","863.91","871.08","863.90","2.99M","0.58%"
"05/21/2024","865.07","869.50","869.50","860.46","2.69M","-0.56%"
"05/20/2024","869.95","861.09","869.95","859.26","2.07M","0.85%"
"05/17/2024","862.62","864.80","864.80","854.72","3.73M","-0.42%"
"05/16/2024","866.27","865.47","872.23","865.47","3.50M","0.01%"
"05/15/2024","866.17","857.72","866.95","856.70","2.85M","1.09%"
"05/14/2024","856.80","855.20","858.70","851.60","3.12M","0.20%"
"05/13/2024","855.08","859.03","860.50","851.09","2.44M","-0.28%"
"05/10/2024","857.47","849.96","859.79","849.96","2.89M","0.88%"
"05/09/2024","849.97","845.82","851.17","844.86","2.02M","0.60%"
"05/08/2024","844.93","846.03","849.01","841.41","2.52M","-0.15%"
"05/07/2024","846.22","834.42","847.15","834.14","4.28M","1.83%"
"05/06/2024","831.04","823.77","831.87","822.58","1.75M","0.99%"
"05/03/2024","822.90","812.19","825.52","812.19","2.77M","1.72%"
"05/02/2024","808.96","809.77","816.46","806.25","3.46M","-1.10%"
"05/01/2024","817.95","817.89","817.95","817.52","3.20M","-0.02%"
"04/30/2024","818.11","828.80","832.42","817.56","3.33M","-1.19%"
"04/29/2024","827.93","836.71","837.08","826.62","2.55M","-0.97%"
"04/26/2024","836.02","825.70","839.74","825.70","3.66M","1.84%"
"04/25/2024","820.95","825.66","831.27","811.84","5.21M","-1.03%"
"04/24/2024","829.48","820.17","840.05","820.17","4.12M","1.32%"
"04/23/2024","818.68","801.87","819.15","801.87","3.34M","2.53%"
"04/22/2024","798.50","799.89","804.01","797.01","2.80M","0.11%"
"04/19/2024","797.62","807.30","807.30","797.26","3.31M","-1.79%"
"04/18/2024","812.12","819.20","823.77","806.03","3.63M","-0.78%"
"04/17/2024","818.49","840.47","840.47","817.16","3.15M","-2.80%"
"04/16/2024","842.06","846.43","846.43","832.57","3.11M","-0.72%"
"04/15/2024","848.14","848.82","862.32","846.06","2.78M","0.15%"
"04/12/2024","846.83","853.58","867.05","842.73","3.26M","-0.58%"
"04/11/2024","851.81","852.29","857.87","844.79","3.08M","-0.28%"
"04/10/2024","854.23","854.32","863.10","843.22","3.37M","0.43%"
"04/09/2024","850.57","858.78","861.04","846.99","2.92M","-1.00%"
"04/08/2024","859.20","853.16","861.71","851.43","2.63M","0.63%"
"04/05/2024","853.84","852.17","856.30","841.52","3.09M","-0.23%"
"04/04/2024","855.81","857.14","858.99","852.15","2.82M","0.01%"
"04/03/2024","855.74","848.20","856.40","848.04","2.89M","0.83%"
"04/02/2024","848.73","863.96","870.52","848.73","3.47M","-0.89%"
"03/28/2024","856.33","860.53","861.46","855.81","2.95M","-0.40%"
